class_index,class_name,train_count,val_count,test_count,total_count,class_weight
14,Recon-HostDiscovery,48,11,10,69,10.1764
5,DoS-ICMP_Flood,202,43,44,289,2.4181
1,DDoS-ICMP_Flood,232,50,50,332,2.1055
12,MQTT-DoS-Publish_Flood,571,122,122,815,0.8555
18,Spoofing-ARP,971,208,208,1387,0.5031
13,MQTT-Malformed_Data,1397,299,300,1996,0.3497
2,DDoS-SYN_Flood,2450,525,525,3500,0.1994
3,DDoS-TCP_Flood,2450,525,525,3500,0.1994
7,DoS-TCP_Flood,2450,525,525,3500,0.1994
6,DoS-SYN_Flood,2450,525,525,3500,0.1994
4,DDoS-UDP_Flood,2450,525,525,3500,0.1994
8,DoS-UDP_Flood,2450,525,525,3500,0.1994
11,MQTT-DoS-Connect_Flood,2450,525,525,3500,0.1994
10,MQTT-DDoS-Publish_Flood,2450,525,525,3500,0.1994
9,MQTT-DDoS-Connect_Flood,2450,525,525,3500,0.1994
0,Benign,2450,525,525,3500,0.1994
15,Recon-OSScan,2450,525,525,3500,0.1994
16,Recon-PortScan,2450,525,525,3500,0.1994
17,Recon-VulScan,2450,525,525,3500,0.1994
